Mod:Item:MetaData, Localized Name
ic2:itemheatstorage:2, 60k Coolant Cell
ic2:itemheatvent:0, Heat Vent
ic2:itemheatvent:1, Reactor Heat Vent
ic2:itemheatvent:2, Overclocked Heat Vent
ic2:itemheatvent:3, Advanced Heat Vent
ic2:itemheatvent:10, Steam Vent
ic2:itemheatvent:11, Reactor Steam Vent
ic2:itemheatvent:12, Overclocked Steam Vent
ic2:itemheatvent:13, Advanced Steam Vent
ic2:itemheatvent:20, Electric Heat Vent
ic2:itemheatvent:21, Electric Reactor Heat Vent
ic2:itemheatvent:22, Electric Overclocked Heat Vent
ic2:itemheatvent:23, Electric Advanced Heat Vent
ic2:itemheatswtiches:0, Heat Exchanger
ic2:itemheatswtiches:1, Reactor Heat Exchanger
ic2:itemheatswtiches:2, Component Heat Exchanger
ic2:itemheatswtiches:3, Advanced Heat Exchanger
ic2:itemcondensators:0, RSH-Condensator
ic2:itemcondensators:1, LZH-Condensator
ic2:reactorheatpack, Heating Cell
ic2:itemreflectors:0, Neutron Reflector
ic2:itemreflectors:1, Thick Neutron Reflector
ic2:itemreflectors:2, Iridium Neutron Reflector
ic2:reactorventspread, Component Heat Vent
ic2:iteminactivefuelcell, Inactive Fuel Cell
ic2:itemnouse:0, No Use
ic2:tile.water, Water
ic2:tile.lava, Lava
advancedsolars:advancedsolarpanel, Advanced Solar Panel
advancedsolars:hybridsolarpanel, Hybrid Solar Panel
advancedsolars:ultimatesolarpanel, Ultimate Hybrid Solar Panel
advancedsolars:sunnarium, Sunnarium
advancedsolars:sunnariumalloy, Sunnarium Alloy
advancedsolars:irradianturanium, Irradiant Uranium
advancedsolars:enrichedsunnarium, Enriched Sunnarium
advancedsolars:enrichedsunnariumalloy, Enriched Sunnarium Alloy
advancedsolars:irradiantglasspane, Irradiant Glass Pane
advancedsolars:iridiumironplate, Iridium Iron Plate
advancedsolars:reinforcediridiumironplate, Reinforced Iridium Iron Plate
advancedsolars:irradiantreinforcedplate, Irradiant Reinforced Plate
advancedsolars:sunnariumpart, Sunnarium Part
advancedsolars:iridiumingot, Iridium Ingot
advancedsolars:advancedsolarhelmet, Advanced Solar Helmet
advancedsolars:hybridsolarhelmet, Hybrid Solar Helmet
advancedsolars:ultimatehybridsolarhelmet, Ultimate Hybrid Solar Helmet
ae2stuff:encoder, Pattern Encoder
ae2stuff:grower, Crystal Growth Chamber
ae2stuff:inscriber, Advanced Inscriber
ae2stuff:wireless, Wireless Connector
ae2stuff:wireless_kit, Wireless Setup Kit
ae2stuff:visualiser, Network Visualisation Tool
biomesoplenty:grass:0, Spectral Moss
biomesoplenty:grass:1, Overgrown Stone
biomesoplenty:grass:2, Loamy Grass Block
biomesoplenty:grass:3, Sandy Grass Block
biomesoplenty:grass:4, Silty Grass Block
biomesoplenty:grass:5, Origin Grass Block
biomesoplenty:grass:6, Overgrown Netherrack
biomesoplenty:grass:7, Flowering Grass Block
biomesoplenty:grass:8, Mycelial Netherrack
biomesoplenty:dirt:8, Coarse Loamy Dirt
biomesoplenty:dirt:0, Loamy Dirt
biomesoplenty:dirt:9, Coarse Sandy Dirt
biomesoplenty:dirt:1, Sandy Dirt
biomesoplenty:dirt:10, Coarse Silty Dirt
biomesoplenty:dirt:2, Silty Dirt
biomesoplenty:grass_path:0, Loamy Grass Path
biomesoplenty:grass_path:1, Sandy Grass Path
biomesoplenty:grass_path:2, Silty Grass Path
biomesoplenty:farmland_0:0, Loamy Farmland
biomesoplenty:farmland_0:1, Sandy Farmland
biomesoplenty:farmland_1:0, Silty Farmland
biomesoplenty:white_sand:0, White Sand
biomesoplenty:white_sandstone:0, White Sandstone
biomesoplenty:white_sandstone:1, Chiseled White Sandstone
biomesoplenty:white_sandstone:2, Smooth White Sandstone
biomesoplenty:white_sandstone_stairs:0, White Sandstone Stairs
biomesoplenty:dried_sand:0, Dried Sand
biomesoplenty:hard_ice:0, Hardened Ice
biomesoplenty:ash_block:0, Ash Block
biomesoplenty:mud:0, Mud
biomesoplenty:flesh:0, Flesh
biomesoplenty:crystal:0, Celestial Crystal
biomesoplenty:biome_block:0, Biome Essence Ore
biomesoplenty:gem_ore:0, Ender Amethyst Ore
biomesoplenty:gem_ore:1, Ruby Ore
biomesoplenty:gem_ore:2, Peridot Ore
biomesoplenty:gem_ore:3, Topaz Ore
biomesoplenty:gem_ore:4, Tanzanite Ore
biomesoplenty:gem_ore:5, Malachite Ore
biomesoplenty:gem_ore:6, Sapphire Ore
biomesoplenty:gem_ore:7, Amber Ore
biomesoplenty:gem_block:0, Block of Amethyst
biomesoplenty:gem_block:1, Block of Ruby
biomesoplenty:gem_block:2, Block of Peridot
biomesoplenty:gem_block:3, Block of Topaz
biomesoplenty:gem_block:4, Block of Tanzanite
biomesoplenty:gem_block:5, Block of Malachite
biomesoplenty:gem_block:6, Block of Sapphire
biomesoplenty:gem_block:7, Block of Amber
biomesoplenty:hive:0, Hive Block
biomesoplenty:hive:1, Honeycomb Block
biomesoplenty:hive:2, Empty Honeycomb Block
biomesoplenty:hive:3, Filled Honeycomb Block
biomesoplenty:honey_block:0, Honey Block
biomesoplenty:blue_fire:0, Blue Fire
biomesoplenty:bamboo_thatching:0, Bamboo Thatching
biomesoplenty:mud_brick_block:0, Mud Bricks
biomesoplenty:mud_brick_stairs:0, Mud Bricks Stairs
biomesoplenty:other_slab:0, Mud Bricks Slab
biomesoplenty:other_slab:1, White Sandstone Slab
biomesoplenty:log_0:4, Sacred Oak Wood
biomesoplenty:log_0:5, Cherry Wood
biomesoplenty:log_0:6, Umbran Wood
biomesoplenty:log_0:7, Fir Wood
biomesoplenty:log_1:4, Ethereal Wood
biomesoplenty:log_1:5, Magic Wood
biomesoplenty:log_1:6, Mangrove Wood
biomesoplenty:log_1:7, Palm Wood
biomesoplenty:log_2:4, Redwood Wood
biomesoplenty:log_2:5, Willow Wood
biomesoplenty:log_2:6, Pine Wood
biomesoplenty:log_2:7, Hellbark Wood
biomesoplenty:log_3:4, Jacaranda Wood
biomesoplenty:log_3:5, Mahogany Wood
biomesoplenty:log_3:6, Ebony Wood
biomesoplenty:log_3:7, Eucalyptus Wood
biomesoplenty:log_4:4, Giant Flower Stem
biomesoplenty:log_4:5, Dead Wood
biomesoplenty:leaves_0:8, Yellow Autumn Leaves
biomesoplenty:leaves_0:9, Orange Autumn Leaves
biomesoplenty:leaves_0:10, Bamboo Leaves
biomesoplenty:leaves_0:11, Magic Leaves
biomesoplenty:leaves_1:8, Umbran Leaves
biomesoplenty:leaves_1:9, Dead Leaves
biomesoplenty:leaves_1:10, Fir Leaves
biomesoplenty:leaves_1:11, Ethereal Leaves
biomesoplenty:leaves_2:8, Origin Leaves
biomesoplenty:leaves_2:9, Pink Cherry Leaves
biomesoplenty:leaves_2:10, White Cherry Leaves
biomesoplenty:leaves_2:11, Maple Leaves
biomesoplenty:leaves_3:8, Hellbark Leaves
biomesoplenty:leaves_3:9, Flowering Oak Leaves
biomesoplenty:leaves_3:10, Jacaranda Leaves
biomesoplenty:leaves_3:11, Sacred Oak Leaves
biomesoplenty:leaves_4:8, Mangrove Leaves
biomesoplenty:leaves_4:9, Palm Leaves
biomesoplenty:leaves_4:10, Redwood Leaves
biomesoplenty:leaves_4:11, Willow Leaves
biomesoplenty:leaves_5:8, Pine Leaves
biomesoplenty:leaves_5:9, Mahogany Leaves
biomesoplenty:leaves_5:10, Ebony Leaves
biomesoplenty:leaves_5:11, Eucalyptus Leaves
biomesoplenty:leaves_6:8, Giant Red Flower Petal
biomesoplenty:leaves_6:9, Giant Yellow Flower Petal
biomesoplenty:planks_0:0, Sacred Oak Wood Planks
biomesoplenty:planks_0:1, Cherry Wood Planks
biomesoplenty:planks_0:2, Umbran Wood Planks
biomesoplenty:planks_0:3, Fir Wood Planks
biomesoplenty:planks_0:4, Ethereal Wood Planks
biomesoplenty:planks_0:5, Magic Wood Planks
biomesoplenty:planks_0:6, Mangrove Wood Planks
biomesoplenty:planks_0:7, Palm Wood Planks
biomesoplenty:planks_0:8, Redwood Wood Planks
biomesoplenty:planks_0:9, Willow Wood Planks
biomesoplenty:planks_0:10, Pine Wood Planks
biomesoplenty:planks_0:11, Hellbark Wood Planks
biomesoplenty:planks_0:12, Jacaranda Wood Planks
biomesoplenty:planks_0:13, Mahogany Wood Planks
biomesoplenty:planks_0:14, Ebony Wood Planks
biomesoplenty:planks_0:15, Eucalyptus Wood Planks
biomesoplenty:sacred_oak_stairs:0, Sacred Oak Wood Stairs
biomesoplenty:cherry_stairs:0, Cherry Wood Stairs
biomesoplenty:umbran_stairs:0, Umbran Wood Stairs
biomesoplenty:fir_stairs:0, Fir Wood Stairs
biomesoplenty:ethereal_stairs:0, Ethereal Wood Stairs
biomesoplenty:magic_stairs:0, Magic Wood Stairs
biomesoplenty:mangrove_stairs:0, Mangrove Wood Stairs
biomesoplenty:palm_stairs:0, Palm Wood Stairs
biomesoplenty:redwood_stairs:0, Redwood Wood Stairs
biomesoplenty:willow_stairs:0, Willow Wood Stairs
biomesoplenty:pine_stairs:0, Pine Wood Stairs
biomesoplenty:hellbark_stairs:0, Hellbark Wood Stairs
biomesoplenty:jacaranda_stairs:0, Jacaranda Wood Stairs
biomesoplenty:mahogany_stairs:0, Mahogany Wood Stairs
biomesoplenty:ebony_stairs:0, Ebony Wood Stairs
biomesoplenty:eucalyptus_stairs:0, Eucalyptus Wood Stairs
biomesoplenty:wood_slab_0:0, Sacred Oak Wood Slab
biomesoplenty:wood_slab_0:1, Cherry Wood Slab
biomesoplenty:wood_slab_0:2, Umbran Wood Slab
biomesoplenty:wood_slab_0:3, Fir Wood Slab
biomesoplenty:wood_slab_0:4, Ethereal Wood Slab
biomesoplenty:wood_slab_0:5, Magic Wood Slab
biomesoplenty:wood_slab_0:6, Mangrove Wood Slab
biomesoplenty:wood_slab_0:7, Palm Wood Slab
biomesoplenty:wood_slab_1:0, Redwood Wood Slab
biomesoplenty:wood_slab_1:1, Willow Wood Slab
biomesoplenty:wood_slab_1:2, Pine Wood Slab
biomesoplenty:wood_slab_1:3, Hellbark Wood Slab
biomesoplenty:wood_slab_1:4, Jacaranda Wood Slab
biomesoplenty:wood_slab_1:5, Mahogany Wood Slab
biomesoplenty:wood_slab_1:6, Ebony Wood Slab
biomesoplenty:wood_slab_1:7, Eucalyptus Wood Slab
biomesoplenty:sacred_oak_fence:0, Sacred Oak Fence
biomesoplenty:cherry_fence:0, Cherry Fence
biomesoplenty:umbran_fence:0, Umbran Fence
biomesoplenty:fir_fence:0, Fir Fence
biomesoplenty:ethereal_fence:0, Ethereal Fence
biomesoplenty:magic_fence:0, Magic Fence
biomesoplenty:mangrove_fence:0, Mangrove Fence
biomesoplenty:palm_fence:0, Palm Fence
biomesoplenty:redwood_fence:0, Redwood Fence
biomesoplenty:willow_fence:0, Willow Fence
biomesoplenty:pine_fence:0, Pine Fence
biomesoplenty:hellbark_fence:0, Hellbark Fence
biomesoplenty:jacaranda_fence:0, Jacaranda Fence
biomesoplenty:mahogany_fence:0, Mahogany Fence
biomesoplenty:ebony_fence:0, Ebony Fence
biomesoplenty:eucalyptus_fence:0, Eucalyptus Fence
biomesoplenty:sacred_oak_fence_gate:0, Sacred Oak Fence Gate
biomesoplenty:cherry_fence_gate:0, Cherry Fence Gate
biomesoplenty:umbran_fence_gate:0, Umbran Fence Gate
biomesoplenty:fir_fence_gate:0, Fir Fence Gate
biomesoplenty:ethereal_fence_gate:0, Ethereal Fence Gate
biomesoplenty:magic_fence_gate:0, Magic Fence Gate
biomesoplenty:mangrove_fence_gate:0, Mangrove Fence Gate
biomesoplenty:palm_fence_gate:0, Palm Fence Gate
biomesoplenty:redwood_fence_gate:0, Redwood Fence Gate
biomesoplenty:willow_fence_gate:0, Willow Fence Gate
biomesoplenty:pine_fence_gate:0, Pine Fence Gate
biomesoplenty:hellbark_fence_gate:0, Hellbark Fence Gate
biomesoplenty:jacaranda_fence_gate:0, Jacaranda Fence Gate
biomesoplenty:mahogany_fence_gate:0, Mahogany Fence Gate
biomesoplenty:ebony_fence_gate:0, Ebony Fence Gate
biomesoplenty:eucalyptus_fence_gate:0, Eucalyptus Fence Gate
biomesoplenty:sacred_oak_door, Sacred Oak Door
biomesoplenty:cherry_door, Cherry Door
biomesoplenty:umbran_door, Umbran Door
biomesoplenty:fir_door, Fir Door
biomesoplenty:ethereal_door, Ethereal Door
biomesoplenty:magic_door, Magic Door
biomesoplenty:mangrove_door, Mangrove Door
biomesoplenty:palm_door, Palm Door
biomesoplenty:redwood_door, Redwood Door
biomesoplenty:willow_door, Willow Door
biomesoplenty:pine_door, Pine Door
biomesoplenty:hellbark_door, Hellbark Door
biomesoplenty:jacaranda_door, Jacaranda Door
biomesoplenty:mahogany_door, Mahogany Door
biomesoplenty:ebony_door, Ebony Door
biomesoplenty:eucalyptus_door, Eucalyptus Door
biomesoplenty:coral:0, Pink Coral
biomesoplenty:coral:1, Orange Coral
biomesoplenty:coral:2, Blue Coral
biomesoplenty:coral:3, Glowing Coral
biomesoplenty:coral:4, Algae
biomesoplenty:seaweed:0, Kelp
biomesoplenty:waterlily:0, Medium Lily Pad
biomesoplenty:waterlily:1, Small Lily Pad
biomesoplenty:waterlily:2, Tiny Lily Pad
biomesoplenty:waterlily:3, Flowered Lily
biomesoplenty:bamboo:0, Bamboo
biomesoplenty:sapling_0:0, Yellow Autumn Sapling
biomesoplenty:sapling_0:1, Orange Autumn Sapling
biomesoplenty:sapling_0:2, Bamboo Sapling
biomesoplenty:sapling_0:3, Magic Sapling
biomesoplenty:sapling_0:4, Umbran Sapling
biomesoplenty:sapling_0:5, Dead Sapling
biomesoplenty:sapling_0:6, Fir Sapling
biomesoplenty:sapling_0:7, Ethereal Sapling
biomesoplenty:sapling_1:0, Origin Sapling
biomesoplenty:sapling_1:1, Pink Cherry Sapling
biomesoplenty:sapling_1:2, White Cherry Sapling
biomesoplenty:sapling_1:3, Maple Sapling
biomesoplenty:sapling_1:4, Hellbark Sapling
biomesoplenty:sapling_1:5, Flowering Oak Sapling
biomesoplenty:sapling_1:6, Jacaranda Sapling
biomesoplenty:sapling_1:7, Sacred Oak Sapling
biomesoplenty:sapling_2:0, Mangrove Sapling
biomesoplenty:sapling_2:1, Palm Sapling
biomesoplenty:sapling_2:2, Redwood Sapling
biomesoplenty:sapling_2:3, Willow Sapling
biomesoplenty:sapling_2:4, Pine Sapling
biomesoplenty:sapling_2:5, Mahogany Sapling
biomesoplenty:sapling_2:6, Ebony Sapling
biomesoplenty:sapling_2:7, Eucalyptus Sapling
biomesoplenty:plant_0:0, Short Grass
biomesoplenty:plant_0:1, Medium Grass
biomesoplenty:plant_0:2, Bush
biomesoplenty:plant_0:3, Sprout
biomesoplenty:plant_0:4, Poison Ivy
biomesoplenty:plant_0:5, Berry Bush
biomesoplenty:plant_0:6, Shrub
biomesoplenty:plant_0:7, Wheat Grass
biomesoplenty:plant_0:8, Damp Grass
biomesoplenty:plant_0:9, Koru
biomesoplenty:plant_0:10, Clover Patch
biomesoplenty:plant_0:11, Leaf Pile
biomesoplenty:plant_0:12, Dead Leaf Pile
biomesoplenty:plant_0:13, Dead Grass
biomesoplenty:plant_0:14, Desert Grass
biomesoplenty:plant_0:15, Desert Sprouts
biomesoplenty:plant_1:0, Dune Grass
biomesoplenty:plant_1:1, Spectral Fern
biomesoplenty:plant_1:2, Thorns
biomesoplenty:plant_1:3, Wild Rice
biomesoplenty:plant_1:4, Cattail
biomesoplenty:plant_1:5, River Cane
biomesoplenty:plant_1:6, Tiny Cactus
biomesoplenty:plant_1:7, Devilweed
biomesoplenty:plant_1:8, Reed
biomesoplenty:plant_1:9, Root
biomesoplenty:plant_1:10, Rafflesia
biomesoplenty:plant_1:11, Barley
biomesoplenty:double_plant:0, Flax
biomesoplenty:double_plant:1, Tall Cattail
biomesoplenty:double_plant:2, Eyebulb
biomesoplenty:double_plant:3, Sea Oats
biomesoplenty:mushroom:0, Toadstool
biomesoplenty:mushroom:1, Portobello
biomesoplenty:mushroom:2, Blue Milk Cap
biomesoplenty:mushroom:3, Glowshroom
biomesoplenty:mushroom:4, Flat Mushroom
biomesoplenty:mushroom:5, Shadow Shroom
biomesoplenty:bramble_plant:0, Bramble
biomesoplenty:flower_0:0, Clover
biomesoplenty:flower_0:1, Swampflower
biomesoplenty:flower_0:2, Deathbloom
biomesoplenty:flower_0:3, Glowflower
biomesoplenty:flower_0:4, Blue Hydrangea
biomesoplenty:flower_0:5, Orange Cosmos
biomesoplenty:flower_0:6, Pink Dafodil
biomesoplenty:flower_0:7, Wildflower
biomesoplenty:flower_0:8, Violet
biomesoplenty:flower_0:9, White Anemone
biomesoplenty:flower_0:10, Enderlotus
biomesoplenty:flower_0:11, Bromeliad
biomesoplenty:flower_0:12, Wilted Lily
biomesoplenty:flower_0:13, Pink Hibiscus
biomesoplenty:flower_0:14, Lily of the Valley
biomesoplenty:flower_0:15, Burning Blossom
biomesoplenty:flower_1:0, Lavender
biomesoplenty:flower_1:1, Goldenrod
biomesoplenty:flower_1:2, Bluebells
biomesoplenty:flower_1:3, Miner's Delight
biomesoplenty:flower_1:4, Icy Iris
biomesoplenty:flower_1:5, Rose
biomesoplenty:ivy:0, Ivy
biomesoplenty:willow_vine:0, Willow Vine
biomesoplenty:terrarium:0, Fern Terrarium
biomesoplenty:terrarium:1, Mushroom Terrarium
biomesoplenty:terrarium:2, Cactus Terrarium
biomesoplenty:terrarium:3, Flax Terrarium
biomesoplenty:terrarium:4, Flower Terrarium
biomesoplenty:terrarium:5, Koru Terrarium
biomesoplenty:terrarium:6, Bamboo Terrarium
biomesoplenty:terrarium:7, Beach Terrarium
biomesoplenty:terrarium:8, Glowshroom Terrarium
biomesoplenty:terrarium:9, Dead Terrarium
biomesoplenty:terrarium:10, Mystic Terrarium
biomesoplenty:terrarium:11, Ominous Terrarium
biomesoplenty:terrarium:12, Wasteland Terrarium
biomesoplenty:terrarium:13, Origin Terrarium
biomesoplenty:terrarium:14, Nether Terrarium
biomesoplenty:terrarium:15, Ender Terrarium
biomesoplenty:jar_filled:0, Honey Jar
biomesoplenty:jar_filled:1, Blue Fire Jar
biomesoplenty:jar_empty, Empty Jar
biomesoplenty:boat_sacred_oak, Sacred Oak Boat
biomesoplenty:boat_cherry, Cherry Boat
biomesoplenty:boat_umbran, Umbran Boat
biomesoplenty:boat_fir, Fir Boat
biomesoplenty:boat_ethereal, Ethereal Boat
biomesoplenty:boat_magic, Magic Boat
biomesoplenty:boat_mangrove, Mangrove Boat
biomesoplenty:boat_palm, Palm Boat
biomesoplenty:boat_redwood, Redwood Boat
biomesoplenty:boat_willow, Willow Boat
biomesoplenty:boat_pine, Pine Boat
biomesoplenty:boat_hellbark, Hellbark Boat
biomesoplenty:boat_jacaranda, Jacaranda Boat
biomesoplenty:boat_mahogany, Mahogany Boat
biomesoplenty:boat_ebony, Ebony Boat
biomesoplenty:boat_eucalyptus, Eucalyptus Boat
biomesoplenty:biome_finder, Biome Finder
biomesoplenty:record_wanderer, Music Disc
biomesoplenty:mudball, Mud Ball
biomesoplenty:mud_brick, Mud Brick
biomesoplenty:ash, Pile of Ashes
biomesoplenty:fleshchunk, Chunk of Flesh
biomesoplenty:gem:0, Ender Amethyst
biomesoplenty:gem:1, Ruby
biomesoplenty:gem:2, Peridot
biomesoplenty:gem:3, Topaz
biomesoplenty:gem:4, Tanzanite
biomesoplenty:gem:5, Malachite
biomesoplenty:gem:6, Sapphire
biomesoplenty:gem:7, Amber
biomesoplenty:terrestrial_artifact, Terrestrial Artifact
biomesoplenty:crystal_shard, Celestial Crystal Shard
biomesoplenty:biome_essence, Biome Essence
biomesoplenty:berries, Berry
biomesoplenty:pear, Pear
biomesoplenty:peach, Peach
biomesoplenty:persimmon, Persimmon
biomesoplenty:honeycomb, Empty Honeycomb
biomesoplenty:filled_honeycomb, Filled Honeycomb
biomesoplenty:shroompowder, Shroom Powder
biomesoplenty:ricebowl, Bowl of Rice
biomesoplenty:blue_dye, Blue Dye
biomesoplenty:brown_dye, Brown Dye
biomesoplenty:green_dye, Green Dye
biomesoplenty:white_dye, White Dye
biomesoplenty:black_dye, Black Dye
biomesoplenty:earth, Earth
gravisuit:advancedelectricjetpack, Advanced Electric Jetpack
gravisuit:advancednuclearjetpack, Advanced Nuclear Jetpack
gravisuit:advancednanochestplate, Advanced Nano Chestplate
gravisuit:advancednuclearnanochestplate, Advanced Nuclear Nano Chestplate
gravisuit:gravisuit, Gravitation Chestplate
gravisuit:nucleargravisuit, Nuclear Gravitation Chestplate
gravisuit:advancedlappack, Advanced Lappack
gravisuit:ultimatelappack, Ultimate Lappack
gravisuit:gravitool:0, Gravitool
gravisuit:gravitool:0, Gravitool
gravisuit:advanceddrill, Advanced Diamond Drill
gravisuit:advancedchainsaw, Advanced Chainsaw
gravisuit:vajra, Vajra
gravisuit:superconductorcover, Super Conductor Cover
gravisuit:superconductor, Super Conductor
gravisuit:coolingcore, Cooling Core
gravisuit:gravitationengine, Gravitation Engine
gravisuit:magnetron, Magnetron
gravisuit:vajracore, Vajra Core
gravisuit:engineboost, Engine Booster
gravisuit:relocator, Relocator
gtclassic:sapphire_block, Block of Sapphire
gtclassic:ruby_block, Block of Ruby
gtclassic:platinum_block, Block of Platinum
gtclassic:tungsten_block, Block of Tungsten
gtclassic:thorium_block, Block of Thorium
gtclassic:beryllium_block, Block of Beryllium
gtclassic:invar_block, Block of Invar
gtclassic:chrome_block, Block of Chrome
gtclassic:plutonium_block, Block of Plutonium
gtclassic:technetium_block, Block of Technetium
gtclassic:titanium_block, Block of Titanium
gtclassic:iridium_block, Block of Iridium
gtclassic:electrum_block, Block of Electrum
gtclassic:nickel_block, Block of Nickel
gtclassic:aluminium_block, Block of Aluminium
gtclassic:brittlecharcoal, Brittle Charcoal
gtclassic:superfuel, Solid Super Fuel
gtclassic:superfuelmagic, Magic Solid Super Fuel
gtclassic:gold_bedrockore, Bedrock Ore
gtclassic:iron_bedrockore, Bedrock Ore
gtclassic:coal_bedrockore, Bedrock Ore
gtclassic:lapis_bedrockore, Bedrock Ore
gtclassic:diamond_bedrockore, Bedrock Ore
gtclassic:redstone_bedrockore, Bedrock Ore
gtclassic:emerald_bedrockore, Bedrock Ore
gtclassic:copper_bedrockore, Bedrock Ore
gtclassic:tin_bedrockore, Bedrock Ore
gtclassic:uranium_bedrockore, Bedrock Ore
gtclassic:silver_bedrockore, Bedrock Ore
gtclassic:sheldonite_bedrockore, Bedrock Ore
gtclassic:ruby_bedrockore, Bedrock Ore
gtclassic:sapphire_bedrockore, Bedrock Ore
gtclassic:bauxite_bedrockore, Bedrock Ore
gtclassic:iridium_ore, Iridium Ore
gtclassic:sheldonite_ore, Sheldonite Ore
gtclassic:ruby_ore, Ruby Ore
gtclassic:sapphire_ore, Sapphire Ore
gtclassic:bauxite_ore, Bauxite Ore
gtclassic:fusion, Fusion Coil
gtclassic:lapotron, Lapotron Block
gtclassic:highlyadvanced, Highly Advanced Machine Block
gtclassic:chargeomat, Charge-O-Mat
gtclassic:computercube, Computer Cube
gtclassic:industrialcentrifuge, Industrial Centrifuge
gtclassic:charcoalpit, Charcoal Pile Igniter
gtclassic:disassembler, Disassembler
gtclassic:bedrockminer, Bedrock Miner
gtclassic:matterfabricator, Matter Fabricator
gtclassic:uumassembler, UUM-Assembler
gtclassic:echotronblock, Echotron
gtclassic:playerdetector, Player Detector
gtclassic:mobrepeller, Monster Repellator
gtclassic:energytransmitter, Microwave Energy Transmitter
gtclassic:dragoneggenergysiphon, Trophy Energy Siphon
gtclassic:magicenergyconverter, Magic Energy Converter
gtclassic:magicenergyabsorber, Magic Energy Absorber
gtclassic:fusionreactor, Fusion Reactor
gtclassic:lightningrod, Lightning Rod
gtclassic:tesseractmaster, Tesseract Generator
gtclassic:tesseractslave, Tesseract Terminal
gtclassic:batteryblocklv:0, Low Voltage Battery Block
gtclassic:batteryblocklv:0, Low Voltage Battery Block
gtclassic:lesu, LESU
gtclassic:aesu, AESU
gtclassic:idsu, IDSU
gtclassic:supercondensator, Supercondensator
gtclassic:worktable, Basic Worktable
gtclassic:cabinet, Cabinet
gtclassic:drum, Drum
gtclassic:digitalchest, Digital Chest
gtclassic:quantumchest, Quantum Chest
gtclassic:quantumtank, Quantum Tank
gtclassic:blockextender, Block Extender
gtclassic:displayscreen, Display Screen
gtclassic:redstonetransmitter, Redstone Transmitter
gtclassic:redstonereceiver, Redstone Receiver
gtclassic:autocrafter, Electric Craftingtable
gtclassic:rockbreaker, Electric Rock Breaker
gtclassic:translocator, Item Translocator
gtclassic:typefilter, Type Filter
gtclassic:itemfilter, Item Filter
gtclassic:buffersmall, Small Item Buffer
gtclassic:bufferlarge, Large Item Buffer
gtclassic:translocatorfluid, Fluid Translocator
gtclassic:bufferfluid, Fluid Buffer
gtclassic:lamp, Redstone Controlled Lamp
gtclassic:superconductorcable0, Superconductor Cable
gtclassic:superconductorcable, Superconductor Cable
gtclassic:superconductorcable2, Superconductor Cable
gtclassic:superconductorcable4, Superconductor Cable
gtclassic:tungstenminingpipe, Tungsten Mining Pipe
gtclassic:flintmortar, Flint Mortar
gtclassic:ironmortar, Iron Mortar
gtclassic:orechid, Orechid
gtclassic:lightsource, Light Source
gtclassic:test_tube, Glass Tube
gtclassic:calcite_dust, Calcite Dust
gtclassic:pyrite_dust, Pyrite Dust
gtclassic:lithium_dust, Lithium Dust
gtclassic:platinum_dust, Platinum Dust
gtclassic:tungsten_dust, Tungsten Dust
gtclassic:carbon_dust, Carbon Dust
gtclassic:thorium_dust, Thorium Dust
gtclassic:beryllium_dust, Beryllium Dust
gtclassic:browndye_dust, Brown Dye Dust
gtclassic:invar_dust, Invar Dust
gtclassic:sulfur_dust, Sulfur Dust
gtclassic:wood_dust, Wood Pulp
gtclassic:phosphorus_dust, Phosphorus Dust
gtclassic:sapphire_dust, Sapphire Dust
gtclassic:chrome_dust, Chrome Dust
gtclassic:plutonium_dust, Plutonium Dust
gtclassic:sodalite_dust, Sodalite Dust
gtclassic:uuamplifier_dust, UU-Amplifier Dust
gtclassic:flint_dust, Flint Dust
gtclassic:uranium_dust, Uranium Dust
gtclassic:emerald_dust, Emerald Dust
gtclassic:endereye_dust, Eye of Ender Dust
gtclassic:technetium_dust, Technetium Dust
gtclassic:titanium_dust, Titanium Dust
gtclassic:lazurite_dust, Lazurite Dust
gtclassic:iridium_dust, Iridium Dust
gtclassic:basalt_dust, Basalt Dust
gtclassic:electrum_dust, Electrum Dust
gtclassic:nickel_dust, Nickel Dust
gtclassic:bauxite_dust, Bauxite Dust
gtclassic:ruby_dust, Ruby Dust
gtclassic:enderpearl_dust, Ender Pearl Dust
gtclassic:silicon_dust, Silicon Dust
gtclassic:aluminium_dust, Aluminium Dust
gtclassic:ruby_gem, Ruby
gtclassic:sapphire_gem, Sapphire
gtclassic:platinum_ingot, Platinum Ingot
gtclassic:tungsten_ingot, Tungsten Ingot
gtclassic:thorium_ingot, Thorium Ingot
gtclassic:beryllium_ingot, Beryllium Ingot
gtclassic:invar_ingot, Invar Ingot
gtclassic:chrome_ingot, Chrome Ingot
gtclassic:plutonium_ingot, Plutonium Ingot
gtclassic:technetium_ingot, Technetium Ingot
gtclassic:titanium_ingot, Titanium Ingot
gtclassic:iridium_ingot, Iridium Ingot
gtclassic:electrum_ingot, Electrum Ingot
gtclassic:nickel_ingot, Nickel Ingot
gtclassic:silicon_ingot, Silicon Ingot
gtclassic:aluminium_ingot, Aluminium Ingot
gtclassic:heatstorage_helium_single, 60k Helium Coolant Cell
gtclassic:heatstorage_helium_triple, 180k Helium Coolant Cell
gtclassic:heatstorage_helium_six, 360k Helium Coolant Cell
gtclassic:rod_thorium_single, Thorium Cell
